Name,Price,Rate,Rating_pop
"삼성전자 플러스 퓨어 화이트 노트북 NT350XCR-AD3AW (i3-10110U), 포함, 256GB, 8GB, WIN10 Home, RAM 8GB + SSD 256GB","819,000",5.0,424
"삼성전자 플러스2 퓨어화이트 노트북 NT550XDA-K78AW (i7-1165G7 39.6cm WIN10 Home), 포함, 256GB, 16GB","1,379,000",5.0,801
"레노버 아이디어패드 Platinum Grey 노트북 S150-11 81VT (Intel Celeron N4020 29.5cm WIN10 Home S), 윈도우 포함, 64GB, 4GB","267,530",4.5,109
"대용량 SSD 512G탑재! 삼성전자 노트북9 NT901X5H (코어i5 RAM 8G SSD 512G 무게1.29kg 15.6인치 윈도우10 실버), SSD 512GB","698,000",4.5,114
"삼성전자 플러스 퓨어 화이트 노트북 NT350XCR-AD3AW (i3-10110U), 포함, 256GB, 16GB, WIN10 Home, RAM 8GB + RAM 8GB + SSD 256GB","889,000",5.0,424
"대용량 SSD 512G탑재! 삼성전자 노트북9 NT901X5H (코어i5 RAM 8G SSD 512G 무게1.29kg 15.6인치 윈도우10 실버), SSD 512GB","698,000",4.5,114
"델 Inspiron 15 5505 플래티넘 실버 노트북 DN5505-WH01KR (라이젠5-4500U 39.6cm WIN10 Home), 윈도우 포함, 256GB, 8GB","749,000",4.5,172
"Apple 2020년 맥북 에어 13, M1 8-Core, 8GB, SSD 256GB, 스페이스 그레이","1,184,630",5.0,796
"삼성전자 갤럭시북 이온2 미스틱화이트 노트북 NT950XDA-X71OW (i7-1165G7 39.6cm MX450 WIN10 Home), 포함, 512GB, 32GB","2,179,000",5.0,144
"Apple 2020년 맥북 프로 13 (M1 칩셋 8코어 CPU 8코어 GPU), 16GB, SSD 512GB, 스페이스 그레이","2,116,200",5.0,566
"LG전자 2020 그램15 노트북 15Z90N-VR56K (i5-1035G7 39.6cm), NVMe 512GB, 8GB, WIN10 Home","1,648,990",5.0,108
"삼성전자 노트북9 METAL NT901X5L 가볍고 슬림한 1.29kg 코어i5 SSD256GB 윈10 탑재, 포함, SSD 256GB, 8GB","669,000",4.5,494
"삼성전자 퓨어 화이트 노트북 NT350XCR-AD5WA-X16G (i5-10210U 39.6cm), 윈도우 미포함, 256GB, 16GB","867,000",5.0,304
"삼성전자 플러스 플래티넘 티탄 노트북 NT350XCR-AD5AS (i5-10210U 39.6cm), 포함, 256GB, 16GB","1,061,000",5.0,295
"삼성전자 플러스 퓨어 화이트 노트북 NT350XCR-AD3AW (i3-10110U), 미포함, 256GB, 16GB, WIN미설치,  RAM 8GB + RAM 8GB + SSD 256GB","680,000",5.0,424
"삼성전자 플러스 플래티넘 티탄 노트북 NT350XCR-AD5AS (i5-10210U 39.6cm ), 윈도우 미포함, 256GB, 16GB","890,000",5.0,295
"LG전자 울트라PC 화이트 노트북 15UD40N-GX56K (라이젠5-4500U 39.6cm), 윈도우 미포함, 256GB, 8GB","842,880",5.0,101
"LG전자 울트라PC 노트북 15U40N-GR56K (라이젠5-4500U 39.6cm WIN10 Home), 윈도우 포함, 256GB, 8GB","999,000",5.0,151
"레노버 노트북 V14-ARE 82DQ003AKR (R5-4500U 35.56cm), 윈도우 미포함, 256GB, 4GB","469,000",4.5,207
"삼성전자 플러스 플래티넘 티탄 노트북 NT350XCR-AD3AS (i3-10110U), 윈도우 미포함, 256GB, 16GB","688,000",5.0,138
"삼성전자 플러스 퓨어 화이트 노트북 NT350XCR-AD3AW (i3-10110U), 포함, 256GB, 8GB, WIN10 Home, RAM 8GB + SSD 256GB","819,000",5.0,424
"대용량 SSD 512G탑재! 삼성전자 노트북9 NT901X5H (코어i5 RAM 8G SSD 512G 무게1.29kg 15.6인치 윈도우10 실버), SSD 512GB","698,000",4.5,114
