Name,Price,Rate,Rating_pop
"대용량 SSD 512G탑재! 삼성전자 노트북9 NT901X5H (코어i5 RAM 8G SSD 512G 무게1.29kg 15.6인치 윈도우10 실버), SSD 512GB","698,000",4.5,118
"삼성전자 플러스 퓨어 화이트 노트북 NT350XCR-AD3AW (i3-10110U), 포함, 256GB, 8GB, WIN10 Home, RAM 8GB + SSD 256GB","819,000",5.0,427
"삼성전자 플러스2 퓨어화이트 노트북 NT550XDA-K78AW (i7-1165G7 39.6cm WIN10 Home), 포함, 256GB, 16GB","1,379,000",5.0,806
"삼성전자 갤럭시북 이온2 미스틱화이트 노트북 NT950XDA-X71OW (i7-1165G7 39.6cm MX450 WIN10 Home), 포함, 512GB, 32GB","2,099,000",5.0,145
"Apple 2020년 맥북 프로 13 (M1 칩셋 8코어 CPU 8코어 GPU), 16GB, SSD 512GB, 스페이스 그레이","2,116,200",5.0,569
"삼성전자 노트북9 METAL NT901X5L 가볍고 슬림한 1.29kg 코어i5 SSD256GB 윈10 탑재, 포함, SSD 256GB, 8GB","669,000",4.5,496
"LG전자 2020 그램15 노트북 15Z90N-VR56K (i5-1035G7 39.6cm), NVMe 512GB, 8GB, WIN10 Home","1,593,130",5.0,108
"레노버 아이디어패드 Platinum Grey 노트북 S150-11 81VT (Intel Celeron N4020 29.5cm WIN10 Home S), 윈도우 포함, 64GB, 4GB","275,800",4.5,110
"삼성전자 플러스 퓨어 화이트 노트북 NT350XCR-AD3AW (i3-10110U), 포함, 256GB, 16GB, WIN10 Home, RAM 8GB + RAM 8GB + SSD 256GB","889,000",5.0,427
"Apple 2020년 맥북 에어 13, M1 8-Core, 8GB, SSD 256GB, 스페이스 그레이","1,182,890",5.0,804
"대용량 SSD 512G탑재! 삼성전자 노트북9 NT901X5H (코어i5 RAM 8G SSD 512G 무게1.29kg 15.6인치 윈도우10 실버), SSD 512GB","698,000",4.5,118
"Apple 2020년 맥북 에어 13, M1 8-Core, 8GB, SSD 256GB, 실버","1,207,260",5.0,804
"델 Inspiron 15 5505 플래티넘 실버 노트북 DN5505-WH01KR (라이젠5-4500U 39.6cm WIN10 Home), 윈도우 포함, 256GB, 8GB","749,000",4.5,174
"삼성전자 노트북9 METAL NT901X5L 가볍고 슬림한 1.29kg 코어i5 SSD256GB 윈10 탑재, 포함, SSD 256GB, 8GB","669,000",4.5,496
"삼성전자 퓨어 화이트 노트북 NT350XCR-AD5WA-X16G (i5-10210U 39.6cm), 윈도우 미포함, 256GB, 16GB","867,000",5.0,306
"Apple 2020년 맥북 프로 13 (M1 칩셋 8코어 CPU 8코어 GPU), 8GB, SSD 256GB, 스페이스 그레이","1,586,800",5.0,569
"삼성전자 플러스 플래티넘 티탄 노트북 NT350XCR-AD5AS (i5-10210U 39.6cm), 포함, 256GB, 16GB","1,079,000",5.0,294
"LG전자 그램16 옵시디안 블랙 노트북 16Z90P-GA7LK (i7-1165G7 40.6cm WIN10 Home), 포함, NVMe 512GB, 16GB","2,329,000",5.0,160
"Apple 2019년 맥북 프로 터치바 16, 9세대 i7, 16GB, SSD 512GB, 스페이스 그레이, 라데온 Pro 5300M","3,120,000",5.0,1679
"삼성전자 플러스 플래티넘 티탄 노트북 NT350XCR-AD5AS (i5-10210U 39.6cm ), 윈도우 미포함, 256GB, 16GB","899,000",5.0,294
"대용량 SSD 512G탑재! 삼성전자 노트북9 NT901X5H (코어i5 RAM 8G SSD 512G 무게1.29kg 15.6인치 윈도우10 실버), SSD 512GB","698,000",4.5,118
"삼성전자 플러스 퓨어 화이트 노트북 NT350XCR-AD3AW (i3-10110U), 포함, 256GB, 8GB, WIN10 Home, RAM 8GB + SSD 256GB","819,000",5.0,427
"삼성전자 플러스2 퓨어화이트 노트북 NT550XDA-K78AW (i7-1165G7 39.6cm WIN10 Home), 포함, 256GB, 16GB","1,379,000",5.0,806
