Name,Price,Rate,Rating_pop
"삼성전자 무풍 스탠드 에어컨 로즈골드 AF17T7972RZS 전국기본설치무료, 일반배관형","1,649,000",4.5,6
"삼성전자 전국기본설치무료 무풍 스탠드 에어컨 AF18R5773WZK 본사직배송설치, 01.AF18R5773WZK(일반배관)","1,348,900",5.0,40
"삼성전자/벽걸이에어컨/AR06R1131HZ/원룸에어컨/2020년역시즌특가/리버시스템/진공비무료/, AR06R1131HZ","308,000",5.0,106
Klasse 벽걸이 에어컨 DOZ-SF07JM 방문설치,"431,550",4.0,106
"삼성전자 무풍 클래식 에어컨 홈멀티형 AF19T7973WFRT 방문설치, 일반배관형","2,627,240",5.0,5
캐리어 에어로18단 18형 스탠드 에어컨 CPVM-A183PF 방문설치,"1,380,000",5.0,4
"삼성전자 BESPOKE 무풍클래식 에어컨 홈멀티형 AF19A7974NZRT 방문설치, 일반배관형","2,365,350",5.0,1
위니아대우 10평형 벽걸이 에어컨 TDOZ-S10JK 방문설치,"629,800",4.0,28
"위니아딤채 멀티형 에어컨 EPVW16DWESMA 방문설치, 일반배관형","1,180,960",3.5,3
"캐리어 프리미엄 에어로 18단 멀티형 에어컨 AMC17VA2SAWGH 방문설치, --- 기타 ---","1,541,120",,
캐리어 CPV-Q162PM 16평형 에어로 18단 인버터 스탠드 냉난방기 기본별도 KD,"777,000",4.5,3
"[사은품증정] 삼성 무풍 AF17R7573WZR 투인원 멀티형에어컨 인버터 2NI1 <서울 경기 인천> 기본설치포함-ND, 일반배관/매립배관","1,780,000",4.5,9
캐리어 [본사직영] 벽걸이에어컨 ARC06NQT 전국기본설치무료,"357,000",4.5,99
삼성전자 멀티형 무풍에어컨 AF17T7974WZR 투인원 수도권설치,"1,399,000",,
"삼성전자 무풍 클래식 에어컨 홈멀티형 AF19T7974WSRT 방문설치, 매립배관형","2,673,750",5.0,10
"캐리어스탠드 멀티형 에어컨 인버터 신제품 실외기포함가 캐리어 정품자재사용, 16평 스탠드에어컨(CPVM-A164PD)","950,000",5.0,13
"위니아딤채 스탠드 에어컨 WPVW17DCPB 방문설치, 일반배관형","1,419,460",5.0,1
"위니아딤채 스탠드 에어컨 WPVW17DDEH 방문설치, 일반배관형","1,260,960",5.0,1
"LG휘센 스탠드형 에어컨 FQ17V9KWC1 서울경기(기본설치포함), LG 스탠드 에어컨 FQ17V9KWC1 서울경기","1,299,000",4.0,34
"[LG휘센] FQ18VAWWA2 멀티에어컨 2in1 (18+7평) 기본설치포함 수도권 ND, 매립배관형","1,700,000",5.0,3
"삼성전자 무풍갤러리 에어컨 홈멀티형 세트 AF16T5774WSRT 방문설치, 일반배관형","1,703,400",,
캐리어 에어컨 AMC18VX2SAGH 인버터 전국기본설치무료,"1,499,000",5.0,1
"삼성전자 무풍 클래식 에어컨 스탠드형 AF19T7973WFT 방문설치, 일반배관형","2,120,890",5.0,5
"삼성전자 무풍 클래식 에어컨 홈멀티형 AF19T7974WSRT 방문설치, 일반배관형","2,673,750",5.0,10
"삼성전자 무풍 갤러리 에어컨 홈멀티형 AF23TX978MZRT 방문설치, 매립배관형","4,224,340",5.0,8
"삼성전자 무풍 클래식 에어컨 스탠드형 AF17T7974WST 방문설치, 일반배관형","1,901,500",5.0,4
"삼성전자 무풍 클래식 에어컨 홈멀티형 AF17T7973WFRT 방문설치, 일반배관형","2,459,620",5.0,1
"삼성전자 BESPOKE 무풍클래식 에어컨 홈멀티형 방문설치, AF19A7974NZRZ, 매립배관형","2,365,350",5.0,1
삼성전자 무풍 클래식 2in1 멀티형 에어컨AF17T7974WZR 수도권 무료설치,"1,699,000",5.0,3
"삼성전자 2020년형 무풍 AF17T7974WSR 투인원 공기청정 인버터 멀티형에어컨 기본설치포함 <서울 경기 인천> ND, AF17T7974WSRT","1,799,000",5.0,9
"삼성전자 무풍 갤러리 에어컨 홈멀티형 AF25TX978MZRT 방문설치, 일반배관형","4,429,900",5.0,18
"21년 신상품 캐리어(서울경기인천 충청일부 )수도권 무료배송벽걸이에어컨6평 CSF-A063CS, 캐리어 CSF-A063CS","248,000",5.0,5
LG휘센 서울경기 기본설치포함 2IN1 LG멀티에어컨 FQ17V8WWJ2,"1,575,000",4.0,59
"삼성전자 BESPOKE 무풍갤러리 에어컨 홈멀티형 방문설치, AF17AX773YZRT, 일반배관형","2,834,900",,
위니아딤채 멀티에어컨 EPVS16CWESM 방문설치,"1,186,830",4.5,240
위니아딤채 스탠드 에어컨 WPVS17CSEV 방문설치,"1,067,000",,
